,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_20,M_23,M_24,M_25,M_26,M_27,M_28,M_31,M_32,M_33,M_34,M_35,M_36,M_38,M_42
sample_0721,0.4922049,0.38796628,0.4358386,0.46485126,0.28974432,0.5737831,0.6734959,0.8384522,0.61373746,0.4331485,0.42087513,0.35970432,0.42782426,0.4795742,0.26991415,0.30494764,0.27345967,0.0130203925,0.6048673,0.6971593,0.30348152,0.25158367,0.68962187,0.35173064
sample_0722,0.47174585,0.3664333,0.40404508,0.46936983,0.29241922,0.5416906,0.6110066,0.86308014,0.6140529,0.4217797,0.38301253,0.36033925,0.42782575,0.4796627,0.2529046,0.30495796,0.24567124,0.004824365,0.6042439,1.0305599,0.30231205,0.25680768,0.74698573,0.3225408
sample_0723,0.4689111,0.3675814,0.3904485,0.46484762,0.29151347,0.52586603,0.6693362,0.840776,0.614522,0.42072618,0.30197453,0.3614893,0.42782593,0.4799613,0.25269014,0.3049603,0.27343577,0.008437968,0.6040958,0.61521304,0.30014428,0.2857971,0.46147144,0.24799052
sample_0724,0.46914017,0.36610523,0.3917771,0.4652808,0.29134953,0.52785206,0.66456825,0.8244583,0.6144921,0.42025,0.3090316,0.3613997,0.427826,0.4799279,0.25384852,0.3049599,0.27342018,0.017539725,0.6041282,0.6441816,0.30032596,0.2831783,0.44490445,0.2542526
sample_0725,0.5227693,0.44611475,0.4875436,0.46385315,0.2871652,0.62602496,0.6474901,0.89235985,0.61279607,0.44289252,0.5096239,0.35791424,0.42782313,0.47945377,0.27087787,0.30494195,0.2738884,0.015871424,0.60567665,0.897573,0.30655915,0.22790772,1.1425911,0.4301851
sample_0726,0.5242419,0.48362496,0.50195867,0.46830872,0.28672576,0.70876765,0.61576295,0.9746418,0.61108637,0.45567563,0.6180599,0.35549673,0.42782187,0.47941178,0.27463824,0.304935,0.27353147,0.032111846,0.6072323,1.2180523,0.31024662,0.20077407,1.7336324,0.535113
sample_0727,0.46953163,0.39048427,0.39342827,0.46415645,0.29083472,0.52896297,0.6560745,0.8294563,0.6144632,0.42155948,0.3157283,0.3613088,0.4278259,0.4798984,0.25616646,0.30495986,0.27343613,0.007307415,0.6041437,0.68596995,0.30051214,0.28062642,0.5339273,0.2601095
sample_0728,0.49311912,0.38838434,0.44873804,0.4660475,0.28944415,0.58426553,0.66451013,0.86522686,0.61354953,0.4343751,0.44185317,0.35929847,0.42782414,0.47953716,0.26035807,0.30494738,0.27352127,0.021655753,0.6047901,0.75770307,0.30420655,0.24545619,0.88848114,0.37004155
sample_0729,0.5184988,0.42895234,0.5092739,0.46431637,0.2868692,0.6344145,0.64373964,0.9065115,0.6125709,0.44141945,0.5261633,0.3575709,0.42782333,0.47944066,0.27520895,0.30493805,0.27447742,0.01645581,0.6061575,0.93124664,0.30710652,0.22374654,1.322185,0.445707
sample_0730,0.46857795,0.33062834,0.39035484,0.4652516,0.29299235,0.52617216,0.67803365,0.82483876,0.61454517,0.42031765,0.29503614,0.36159125,0.427826,0.4799927,0.25287637,0.30496046,0.27341956,0.013532025,0.60412115,0.5719362,0.2999165,0.28821102,0.43599343,0.24268347
